Project ID,Project Name,Country / Economy,Type,Project Type / Modality of Assistance,Project Status,Some ID,Approval,Approval1,Some Number,Geographical Location,Sector / Subsector,W,X,Y,Z,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,A,B,C,ADB URL,Project Link,Description,link_visited_already
43380-012,Integrated Water Resources Management and Sustainable Water Service Delivery in Karnataka,India,Sovereign,Technical Assistance,Closed,7418,7/12/09,12/7/09,"925,000.00",,"Agriculture, natural resources and rural development","Rural water policy, institutional and capacity development | Water-based natural resources management",,,,South Asia Department,Water Resource Department,"Siddiqi, Yasmin S.",,,,https://www.adb.org/projects/43380-012/main,https://www.adb.org/projects/43380-012/main,,FALSE
43161-012,Regional Economics of Climate Change in South Asia Part II: Adaptation and Impact Assessment,Regional,Sovereign,Technical Assistance,Closed,7423,7/12/09,12/7/09,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Water-based natural resources management | Energy efficiency and conservation",,,,South Asia Department,Asian Development Bank,"Ahmed, AKM Mahfuzuddin",,,,https://www.adb.org/projects/43161-012/main,https://www.adb.org/projects/43161-012/main,,FALSE
43021-012,Capacity Building of the National Environment Commission in Climate Change,Bhutan,Sovereign,Technical Assistance,Closed,7405,7/12/09,12/7/09,"700,000.00",,"Agriculture, natural resources and rural development | Energy | Transport",Water-based natural resources management | Energy sector development and institutional reform | Large hydropower generation | Renewable energy generation - small hydro | Transport policies and institutional development,,,,South Asia Department,Natl Environment Commission Secretariat (NECS),"Zhang, Lei",,,,https://www.adb.org/projects/43021-012/main,https://www.adb.org/projects/43021-012/main,,FALSE
38252-012,Capacity Development for Irrigation and Water Resources Management,Afghanistan,Sovereign,Technical Assistance,Closed,4716,7/12/05,12/7/05,"755,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Central and West Asia Department,,ADB Disclosure,,,,https://www.adb.org/projects/38252-012/main,https://www.adb.org/projects/38252-012/main,,FALSE
31287-013,Coastal Resource Management,Sri Lanka,Sovereign,Grant | Loan,Closed,1716 | 3477,7/12/99,12/7/99,"40,000,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,,South Asia Department,Ministry of Fisheries and Aquatic Resources (formerly Ministry of Fisheries and Aquatic Resources Development and Rural Economic Affairs),"Thiruchelvam, Mookiah",,,,https://www.adb.org/projects/31287-013/main,https://www.adb.org/projects/31287-013/main,,FALSE
50236-003,Sustainable Rural Infrastructure and Watershed Management Sector Project - Additional Financing,Lao People's Democratic Republic,Sovereign,Grant,Active,912,25/10/2023,10/25/23,0,Nation-wide,"Agriculture, natural resources and rural development",Agricultural production,B,B,C,Sectors Group,Ministry of Agriculture and Forestry (MAF),"Zafar, Omer A.",,,,https://www.adb.org/projects/50236-003/main,https://www.adb.org/projects/50236-003/main,,FALSE
55048-001,Anhui Chao Lake Environmental Rehabilitation Project (Phase 2),"China, People's Republic of",Sovereign,Loan,Active,4369,31/10/2023,10/31/23,"224,000,000.00",Anhui,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Land-based natural resources management | Rural flood protection | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection | Urban sewerage",B,C,B,Sectors Group,Anhui Provincial Government,"Chu, Chenglong",,,,https://www.adb.org/projects/55048-001/main,https://www.adb.org/projects/55048-001/main,,FALSE
57107-001,Provincial and Municipal Climate Change Adaptation Capacity Improvement,"China, People's Republic of",Sovereign,Technical Assistance,Active,10173,1/11/23,11/1/23,"524,800.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Urban policy, institutional and capacity development",,,,Climate Change and Sustainable Development Department,Department of International Cooperation,"Schinn, Dustin S.",,,,https://www.adb.org/projects/57107-001/main,https://www.adb.org/projects/57107-001/main,,FALSE
43459-012,Capacity Development for Project Implementation,India,Sovereign,Technical Assistance,Closed,7593,7/9/10,9/7/10,"4,000,000.00",,"Agriculture, natural resources and rural development | Education | Energy | Finance | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Irrigation | Secondary | Technical and vocational education and training | Electricity transmission and distribution | Renewable energy generation - small hydro | Renewable energy generation - solar | Inclusive finance | Small and medium enterprise finance and leasing | Public administration | Rail transport (non-urban) | Road transport (non-urban) | Renovation and protection of cultural heritage | Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage | Urban solid waste management | Urban water supply",,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Annamraju, Vikram Harsha",,,,https://www.adb.org/projects/43459-012/main,https://www.adb.org/projects/43459-012/main,,FALSE
40156-012,Sustainable Coastal Protection and Management Investment Program,India,Sovereign,Technical Assistance,Closed,4965,7/9/07,9/7/07,"1,200,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,B,B,B,South Asia Department,Ministry of Water Resources,"Khan, Rezaul K.",,,,https://www.adb.org/projects/40156-012/main,https://www.adb.org/projects/40156-012/main,,FALSE
55261-001,Guangxi Environmentally Sustainable Rural Development Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,4373,10/11/23,11/10/23,"150,000,000.00",Guangxi,"Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Inclusive finance",FI,FI,FI,Sectors Group,Guangxi Zhuang Autonomous Region Govt (GZARG),"Leung, Kang Hang",,,,https://www.adb.org/projects/55261-001/main,https://www.adb.org/projects/55261-001/main,,FALSE
55128-001,Hubei Yichang Rural Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,4374,13/11/2023,11/13/23,"200,000,000.00","Yangtze River, Yichang","Agriculture, natural resources and rural development | Energy","Agricultural production | Agriculture research and application | Agro-industry, marketing, and trade | Rural flood protection | Rural solid waste management | Energy efficiency and conservation | Renewable energy generation - solar",B,C,B,Sectors Group,Hubei Provincial Finance Department,"Fan, Mingyuan",,,,https://www.adb.org/projects/55128-001/main,https://www.adb.org/projects/55128-001/main,,FALSE
54014-001,Climate Smart Irrigation Sector Development Program,Georgia,Sovereign,Grant | Loan | Technical Assistance,Active,10182 | 4378 | 4379,16/11/2023,11/16/23,"48,500,000.00","Nation-wide, Kakheti","Agriculture, natural resources and rural development","Agricultural production | Irrigation | Rural water policy, institutional and capacity development",B,C,B,Sectors Group,Ministry of Environmental Protection and Agriculture (MEPA),"Zhou, Yaozhou",,,,https://www.adb.org/projects/54014-001/main,https://www.adb.org/projects/54014-001/main,,FALSE
54026-018,Study on Policy Mechanism and Pattern of Ecosystem Integrated Governance in the Yellow River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10185,17/11/2023,11/17/23,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Forestry and Grassland Administration,"Yee, Au Shion",,,,https://www.adb.org/projects/54026-018/main,https://www.adb.org/projects/54026-018/main,,FALSE
56210-001,Hubei Huanggang Dabie Mountain Ecosystem Protection and Carbon-Neutral Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,4385,20/11/2023,11/20/23,"200,000,000.00",Huanggang,"Agriculture, natural resources and rural development","Agro-industry, marketing, and trade | Land-based natural resources management | Rural sanitation | Water-based natural resources management",B,C,B,Sectors Group,Huanggang Municipal Government,"Cai, Xueliang",,,,https://www.adb.org/projects/56210-001/main,https://www.adb.org/projects/56210-001/main,,FALSE
38059-012,Promoting Pro-Poor and Gender Responsive Service Delivery Project,Nepal,Sovereign,Technical Assistance,Closed,4353,7/7/04,7/7/04,0,,"Agriculture, natural resources and rural development",Livestock,,,,South Asia Department,"Deptof Women Devt,Min.of Women,Children&SocialWelf","Gewali, Govinda P.",,,,https://www.adb.org/projects/38059-012/main,https://www.adb.org/projects/38059-012/main,,FALSE
57079-001,Preparing the Climate Resilient Livestock Development Project,Uzbekistan,Sovereign,Technical Assistance,Active,10189,21/11/2023,11/21/23,"800,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,,,,Sectors Group,Ministry of Agriculture of the Republic of Uzbekistan,"Leung, Leonard H.",,,,https://www.adb.org/projects/57079-001/main,https://www.adb.org/projects/57079-001/main,,FALSE
57092-001,Strengthening Policies on Climate Change in Asia and the Pacific through Economic Research,Regional,Sovereign,Technical Assistance,Active,61,21/11/2023,11/21/23,"3,950,000.00",Bangladesh - Nation-wide; India - Nation-wide,"Agriculture, natural resources and rural development | Energy | Health | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Health sector development and reform | Industry and trade sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Economic Research and Development Impact Department,Asian Development Bank,"Jiang, Yi",,,,https://www.adb.org/projects/57092-001/main,https://www.adb.org/projects/57092-001/main,,FALSE
57111-001,Poyang Lake Climate Change Adaptation Action Plan,"China, People's Republic of",Sovereign,Technical Assistance,Active,10188,22/11/2023,11/22/23,"300,000.00","Nation-wide, Poyang Lake","Agriculture, natural resources and rural development",Water-based natural resources management,,,,Sectors Group,Jiangxi Provincial Department of Ecology and Environment,"Cardascia, Silvia",,,,https://www.adb.org/projects/57111-001/main,https://www.adb.org/projects/57111-001/main,,FALSE
57092-002,"Strengthening Policies on Climate Change in Asia and the Pacific through Economic Research, 2023-2025 (Subproject 1)",Regional,Sovereign,Technical Assistance,Active,10191,22/11/2023,11/22/23,"1,950,000.00",Bangladesh - Nation-wide; India - Nation-wide; Pakistan - Nation-wide,"Agriculture, natural resources and rural development | Energy | Health | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Health sector development and reform | Industry and trade sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Economic Research and Development Impact Department,Asian Development Bank,"Pradhananga, Manisha",,,,https://www.adb.org/projects/57092-002/main,https://www.adb.org/projects/57092-002/main,,FALSE
